Datetime,Open,High,Low,Close,Adj Close,Volume
2024-06-18 00:00:00,66490.9765625,66556.703125,66361.3046875,66361.3046875,66361.3046875,0
2024-06-18 00:15:00,66375.046875,66406.09375,66267.0625,66290.8828125,66290.8828125,135553024
2024-06-18 00:30:00,66319.421875,66470.1015625,66071.125,66071.125,66071.125,101509120
2024-06-18 00:45:00,66055.390625,66055.390625,65567.171875,65723.0390625,65723.0390625,648448000
2024-06-18 01:00:00,65736.640625,65927.234375,65708.5859375,65717.6953125,65717.6953125,189083648
2024-06-18 01:15:00,65715.21875,65766.1640625,65288.6875,65288.6875,65288.6875,197376000
2024-06-18 01:30:00,65393.14453125,65486.16015625,65115.04296875,65115.04296875,65115.04296875,634525696
2024-06-18 01:45:00,64806.53515625,65097.3671875,64668.8984375,65079.96484375,65079.96484375,1544185856
2024-06-18 02:00:00,65125.61328125,65125.61328125,64607.5390625,64779.140625,64779.140625,534415360
2024-06-18 02:15:00,64847.8671875,65370.546875,64847.8671875,65370.546875,65370.546875,516329472
2024-06-18 02:30:00,65320.36328125,65475.1015625,65288.3671875,65338.34375,65338.34375,148426752
2024-06-18 02:45:00,65299.96875,65518.98046875,65299.96875,65462.22265625,65462.22265625,327188480
2024-06-18 03:00:00,65464.640625,65513.66796875,65291.21484375,65353.89453125,65353.89453125,150937600
2024-06-18 03:15:00,65340.05859375,65399.3203125,65331.67578125,65392.59765625,65392.59765625,194404352
2024-06-18 03:30:00,65434.73828125,65537.9375,65398.6640625,65537.9375,65537.9375,118427648
2024-06-18 03:45:00,65541.6875,65553.8984375,65496.921875,65506.62890625,65506.62890625,188268544
2024-06-18 04:00:00,65501.57421875,65551.4140625,65353.96875,65551.4140625,65551.4140625,80556032
2024-06-18 04:15:00,65565.4921875,65741.0703125,65554.03125,65741.0703125,65741.0703125,196423680
2024-06-18 04:30:00,65720.84375,65720.84375,65595.625,65699.5390625,65699.5390625,85807104
2024-06-18 04:45:00,65691.8359375,65708.5,65608.65625,65612.1875,65612.1875,168566784
2024-06-18 05:00:00,65589.4453125,65752.390625,65589.4453125,65730.375,65730.375,135024640
