Open Time,Open,High,Low,Close,Volume
2023-06-30,0.00000154,0.00000171,0.00000145,0.00000162,87407506710529.00
2023-07-01,0.00000162,0.00000164,0.00000151,0.00000156,22007250207876.00
2023-07-02,0.00000156,0.00000162,0.00000148,0.00000158,19532222091251.00
2023-07-03,0.00000158,0.00000190,0.00000156,0.00000184,75874367689918.00
2023-07-04,0.00000183,0.00000189,0.00000169,0.00000171,40305018777128.00
2023-07-05,0.00000171,0.00000177,0.00000160,0.00000166,27779597520636.00
2023-07-06,0.00000165,0.00000179,0.00000153,0.00000154,43615963497808.00
2023-07-07,0.00000154,0.00000160,0.00000150,0.00000157,26384657903114.00
2023-07-08,0.00000157,0.00000160,0.00000151,0.00000156,10928219541876.00
2023-07-09,0.00000156,0.00000159,0.00000152,0.00000154,8991585695705.00
2023-07-10,0.00000154,0.00000159,0.00000143,0.00000151,28865556902901.00
2023-07-11,0.00000152,0.00000154,0.00000148,0.00000151,11361524313279.00
2023-07-12,0.00000151,0.00000157,0.00000148,0.00000150,15820551643799.00
2023-07-13,0.00000151,0.00000177,0.00000146,0.00000172,43040299765530.00
2023-07-14,0.00000172,0.00000188,0.00000155,0.00000164,71463759801184.00
2023-07-15,0.00000165,0.00000171,0.00000161,0.00000165,18911843158392.00
2023-07-16,0.00000164,0.00000167,0.00000155,0.00000157,11479638493399.00
2023-07-17,0.00000157,0.00000161,0.00000151,0.00000158,17659687486894.00
2023-07-18,0.00000158,0.00000160,0.00000148,0.00000152,13468168236684.00
2023-07-19,0.00000152,0.00000158,0.00000150,0.00000152,11353373100091.00
2023-07-20,0.00000153,0.00000158,0.00000146,0.00000151,12904697073328.00
2023-07-21,0.00000151,0.00000155,0.00000148,0.00000153,14074838020514.00
2023-07-22,0.00000152,0.00000155,0.00000147,0.00000149,6132598817525.00
2023-07-23,0.00000149,0.00000154,0.00000146,0.00000151,6045493218739.00
2023-07-24,0.00000151,0.00000151,0.00000128,0.00000135,23911796265486.00
2023-07-25,0.00000135,0.00000136,0.00000128,0.00000130,13320675142486.00
2023-07-26,0.00000131,0.00000139,0.00000122,0.00000133,28003306391719.00
2023-07-27,0.00000134,0.00000145,0.00000131,0.00000135,20572137300908.00
2023-07-28,0.00000134,0.00000138,0.00000129,0.00000133,11977228484062.00
2023-07-29,0.00000134,0.00000136,0.00000132,0.00000135,4947727886844.00
2023-07-30,0.00000134,0.00000135,0.00000124,0.00000130,10789582927121.00
2023-07-31,0.00000129,0.00000133,0.00000120,0.00000124,12112272124852.00
2023-08-01,0.00000123,0.00000131,0.00000117,0.00000130,17191725854220.00
2023-08-02,0.00000131,0.00000132,0.00000120,0.00000122,20273265284892.00
2023-08-03,0.00000121,0.00000124,0.00000119,0.00000120,7619809310429.00
2023-08-04,0.00000120,0.00000123,0.00000111,0.00000116,13998729394028.00
2023-08-05,0.00000116,0.00000118,0.00000112,0.00000115,11593498905424.00
2023-08-06,0.00000116,0.00000118,0.00000112,0.00000115,10360978933924.00
2023-08-07,0.00000116,0.00000120,0.00000105,0.00000111,18837235834434.00
2023-08-08,0.00000111,0.00000123,0.00000110,0.00000117,32586214598799.00
2023-08-09,0.00000117,0.00000129,0.00000117,0.00000124,39833137260596.00
2023-08-10,0.00000123,0.00000127,0.00000121,0.00000124,12719644302426.00
2023-08-11,0.00000124,0.00000127,0.00000121,0.00000125,8323218945828.00
2023-08-12,0.00000124,0.00000137,0.00000124,0.00000136,23971475098622.00
2023-08-13,0.00000136,0.00000143,0.00000132,0.00000136,20328397343170.00
2023-08-14,0.00000136,0.00000147,0.00000132,0.00000140,26932467840289.00
2023-08-15,0.00000140,0.00000141,0.00000123,0.00000126,23693457058151.00
2023-08-16,0.00000127,0.00000128,0.00000113,0.00000116,27172318334126.00
